time,ghi_actual_wh_m2,ghi_forecast_wh_m2,temp_c,load_kw
2025-03-22 04:00:00,0.0,85.72508017985443,24.28,23.74127606201741
2025-03-22 05:00:00,0.0,128.79340339284545,23.55,28.041970877937985
2025-03-22 06:00:00,36.2,180.91702547408545,23.94,36.329292072642616
2025-03-22 07:00:00,192.15,314.37005512602434,26.78,43.340234007981365
2025-03-22 08:00:00,412.75,586.8307529578333,30.61,49.24283483225275
2025-03-22 09:00:00,636.5,792.5704661999027,34.26,45.69050398004553
2025-03-22 10:00:00,803.97,901.629824639424,37.1,35.08817822974378
2025-03-22 11:00:00,889.67,898.4854112991386,39.13,35.73743325244148
2025-03-22 12:00:00,952.33,824.0395551622759,40.35,30.33390444087936
2025-03-22 13:00:00,889.88,781.3073049205761,40.86,30.554152094308137
2025-03-22 14:00:00,719.72,558.1300557373578,40.71,29.429131711599247
2025-03-22 15:00:00,497.73,313.3318857974624,39.99,36.867180638049625
2025-03-22 16:00:00,268.8,114.32142908867571,38.66,43.64231047814097
2025-03-22 17:00:00,79.82,-32.919246652934646,36.21,47.486370227282826
2025-03-22 18:00:00,0.0,-94.02532821649604,32.58,65.388661382172
2025-03-22 19:00:00,0.0,-21.087434082721444,31.24,77.2520007764557
2025-03-22 20:00:00,0.0,38.892031328971385,30.03,80.78796154612031
2025-03-22 21:00:00,0.0,6.538034558370001,28.87,79.38075318626936
2025-03-22 22:00:00,0.0,-15.877590525039096,27.75,64.28598244786161
2025-03-22 23:00:00,0.0,-27.02366289768358,26.65,48.28117603812438
2025-03-23 00:00:00,0.0,-26.334223871440287,25.55,19.772194117491097
2025-03-23 01:00:00,0.0,-13.94793646142341,24.48,18.967346049273868
2025-03-23 02:00:00,0.0,9.203584016814249,23.47,19.843601710854486
2025-03-23 03:00:00,0.0,41.524595882122505,22.58,20.64226928085681
2025-03-23 04:00:00,0.0,81.07621309913458,22.0,23.159045985116375
2025-03-23 05:00:00,0.0,124.837788420654,21.61,30.82807700047309
2025-03-23 06:00:00,36.38,176.67695568350007,22.02,37.03870872105833
2025-03-23 07:00:00,187.7,303.1883857357475,24.48,45.03354361848386
2025-03-23 08:00:00,392.38,561.919197622246,28.02,45.43780699055154
2025-03-23 09:00:00,614.83,748.628563606896,31.73,43.831015191545546
2025-03-23 10:00:00,780.4,876.0149901443201,35.41,37.23521560575253
2025-03-23 11:00:00,899.97,870.2236962699258,37.96,35.06355345791561
2025-03-23 12:00:00,981.47,850.0225889841471,39.51,31.988620750219738
2025-03-23 13:00:00,884.78,798.0385069268758,40.19,28.351540841067276
2025-03-23 14:00:00,718.7,500.192090492547,40.21,30.407917591422937
2025-03-23 15:00:00,493.6,304.9160182378163,39.71,34.55592964551978
2025-03-23 16:00:00,270.83,100.2009152998682,38.63,43.90130094656664
2025-03-23 17:00:00,81.12,-29.456526970919214,35.12,48.25604452022792
2025-03-23 18:00:00,0.0,-97.78269502287628,31.04,66.20237501823667
2025-03-23 19:00:00,0.0,-25.69705253437125,29.78,78.59484845471357
2025-03-23 20:00:00,0.0,36.60837732440724,28.91,82.14934276921171
2025-03-23 21:00:00,0.0,4.784514519151102,28.01,80.30750742343746
2025-03-23 22:00:00,0.0,-17.48838218897272,26.96,67.2220223728979
2025-03-23 23:00:00,0.0,-28.736403401106685,25.81,51.52299434896298
2025-03-24 00:00:00,0.0,-28.210082518046548,24.63,19.741724999922823
2025-03-24 01:00:00,0.0,-15.884964411723344,23.53,20.531030715725294
2025-03-24 02:00:00,0.0,7.368504906003778,22.57,20.158071053396288
2025-03-24 03:00:00,0.0,39.79146561080151,21.73,21.025779342837783
2025-03-24 04:00:00,0.0,79.03723630934516,21.0,23.85527458011068
2025-03-24 05:00:00,0.0,122.26867766551932,20.35,30.56251802188678
2025-03-24 06:00:00,41.38,174.50300603117853,20.94,35.48929662071393
2025-03-24 07:00:00,225.93,308.2929310487736,23.68,45.736949494312185
2025-03-24 08:00:00,461.65,609.4594947378238,28.11,45.269669530730106
2025-03-24 09:00:00,689.47,801.976745892639,32.61,44.99955580021796
2025-03-24 10:00:00,874.42,899.103289238905,36.8,38.744418808290995
2025-03-24 11:00:00,994.53,920.3216665345906,39.18,36.705770809803475
2025-03-24 12:00:00,989.78,878.9785414413082,40.46,31.299699747438762
2025-03-24 13:00:00,904.97,692.5848142292324,41.05,28.918249042762522
2025-03-24 14:00:00,754.38,521.4802206287053,41.13,30.699983078600297
2025-03-24 15:00:00,525.95,334.0241921034587,40.73,34.908364831816414
2025-03-24 16:00:00,269.67,106.0315998194519,39.73,42.655861897906924
2025-03-24 17:00:00,73.65,-68.12014119333202,36.83,48.77356655651014
2025-03-24 18:00:00,0.0,-104.12539254206018,32.66,63.944785271104195
2025-03-24 19:00:00,0.0,-13.093652922640302,31.36,73.65113670698376
2025-03-24 20:00:00,0.0,39.1978778474398,30.18,78.06492355227961
2025-03-24 21:00:00,0.0,6.8438810768384,29.02,72.30994817251833
2025-03-24 22:00:00,0.0,-15.571744006570682,27.9,64.31147832289057
2025-03-24 23:00:00,0.0,-26.6158675397257,26.85,50.005215706556086
2025-03-25 00:00:00,0.0,-25.55941269132032,25.93,20.13899626654191
2025-03-25 01:00:00,0.0,-12.642991315958184,25.12,20.632468966973068
2025-03-25 02:00:00,0.0,11.161001735012093,24.43,20.355222067663224
2025-03-25 03:00:00,0.0,44.52189176311295,24.05,21.470598638017094
2025-03-25 04:00:00,0.0,84.1550680517166,23.51,23.997349838444944
2025-03-25 05:00:00,0.0,127.46806847948233,22.9,29.002432970543623
2025-03-25 06:00:00,39.65,179.75017855223484,23.13,36.387300130049944
2025-03-25 07:00:00,204.8,315.55302900925733,25.57,47.67394366075642
2025-03-25 08:00:00,442.58,595.3804403532455,30.23,47.34483571388061
2025-03-25 09:00:00,667.38,816.8574977161377,35.07,43.81503483380029
2025-03-25 10:00:00,866.45,907.9810602648886,38.3,37.47795601146489
2025-03-25 11:00:00,968.97,952.7381255772864,40.03,36.448765193981195
2025-03-25 12:00:00,1015.67,853.4802686489766,41.04,29.8279313441522
2025-03-25 13:00:00,965.0,767.1395210691563,41.45,30.403413023945685
